actor_id,name,language,preferred,datasource_id
AD-ALV,Andorra la Vella,und,0,UNLOCODE:2022-1
AD-CAN,Canillo,und,0,UNLOCODE:2022-1
AD-ENC,Encamp,und,0,UNLOCODE:2022-1
AD-ESC,Escaldes-Engordany,und,0,UNLOCODE:2022-1
AD-EAC,Escàs,und,0,UNLOCODE:2022-1
AD-EAC,Escas,und,0,UNLOCODE:2022-1
AD-FMO,La Farga de Moles,und,0,UNLOCODE:2022-1
AD-LMA,La Massana,und,0,UNLOCODE:2022-1
AD-ORD,Ordino,und,0,UNLOCODE:2022-1
AD-PAS,Pas de la Casa,und,0,UNLOCODE:2022-1
AD-SJL,Sant Julià de Lòria,und,0,UNLOCODE:2022-1
AD-SJL,Sant Julia de Loria,und,0,UNLOCODE:2022-1
AD-SCO,Santa Coloma,und,0,UNLOCODE:2022-1
AE-AUH,Abu Dhabi,und,0,UNLOCODE:2022-1
AE-AJM,Ajman,und,0,UNLOCODE:2022-1
AE-ALB,Al Barsha,und,0,UNLOCODE:2022-1
AE-DHF,Al Dhafra,und,0,UNLOCODE:2022-1
AE-HAM,Al Hamriyah,und,0,UNLOCODE:2022-1
AE-AJP,Al Jeer Port,und,0,UNLOCODE:2022-1
AE-DBI,Al Mafraq,und,0,UNLOCODE:2022-1
AE-ALQ,Al Quoz,und,0,UNLOCODE:2022-1
AE-ALS,Al Sufouh,und,0,UNLOCODE:2022-1
AE-DER,Deira,und,0,UNLOCODE:2022-1
AE-DBP,Dibba,und,0,UNLOCODE:2022-1
AE-DXB,Dubai,und,0,UNLOCODE:2022-1
AE-DWC,Dubai World Central Apt,und,0,UNLOCODE:2022-1
AE-HAB,Habshan,und,0,UNLOCODE:2022-1
AE-HSN,Hassyan,und,0,UNLOCODE:2022-1
AE-HAT,Hatta,und,0,UNLOCODE:2022-1
AE-IND,Indooroodilly,und,0,UNLOCODE:2022-1
AE-QWE,Jebel Ali Free Zone,und,0,UNLOCODE:2022-1
AE-JYH,Jumayrah,und,0,UNLOCODE:2022-1
AE-KLB,Kalba,und,0,UNLOCODE:2022-1
AE-KHA,Khalidia,und,0,UNLOCODE:2022-1
AE-MKH,Mina Khalid,und,0,UNLOCODE:2022-1
AE-REI,Reem Island,und,0,UNLOCODE:2022-1
AE-SHJ,Sharjah,und,0,UNLOCODE:2022-1
AE-SIL,Sila,und,0,UNLOCODE:2022-1
AE-SWE,Swaihan,und,0,UNLOCODE:2022-1
AF-ASH,Ali Shirzayi,und,0,UNLOCODE:2022-1
AF-BAG,Bagram,und,0,UNLOCODE:2022-1
AF-BIN,Bamian,und,0,UNLOCODE:2022-1
AF-BEP,Bazar-E-Panjwai,und,0,UNLOCODE:2022-1
AF-CBN,Camp Bastion,und,0,UNLOCODE:2022-1
AF-CDW,Camp Dwyer,und,0,UNLOCODE:2022-1
AF-CLN,Camp Leatherneck,und,0,UNLOCODE:2022-1
AF-CSO,Camp Salerno,und,0,UNLOCODE:2022-1
AF-CWO,Camp Wolverine,und,0,UNLOCODE:2022-1
AF-ISQ,Eslam Qal'eh,und,0,UNLOCODE:2022-1
AF-FRO,FOB Frontenac,und,0,UNLOCODE:2022-1
AF-RMD,FOB Ramrod,und,0,UNLOCODE:2022-1
AF-SHK,FOB Shank,und,0,UNLOCODE:2022-1
AF-GAR,Gardiz,und,0,UNLOCODE:2022-1
AF-KBL,Kabul,und,0,UNLOCODE:2022-1
AF-KMU,Kamu,und,0,UNLOCODE:2022-1
AF-KDH,Kandahar,und,0,UNLOCODE:2022-1
AF-KHO,Khowst,und,0,UNLOCODE:2022-1
AF-KWT,Khowst,und,0,UNLOCODE:2022-1
AF-LAG,Lashkar Gah,und,0,UNLOCODE:2022-1
AF-MWD,Maiwand,und,0,UNLOCODE:2022-1
AF-MEH,Mehtar Lam,und,0,UNLOCODE:2022-1
